frame_idx,t,joint,x,y,conf
5,4.632570076325701,nose,19.966960162326945,54.32940010960608,0.8651936650276184
5,4.632570076325701,left_shoulder,26.00533417467344,63.15066347982258,0.9381974339485168
5,4.632570076325701,right_shoulder,24.7893304507446,62.74443606193889,0.938068389892578
5,4.632570076325701,left_elbow,29.48450779059091,69.3840914976698,0.6524778008460999
5,4.632570076325701,right_elbow,26.576907657997896,68.15053750669696,0.7257573008537292
5,4.632570076325701,left_wrist,29.570000362587898,71.56820646706149,0.7117369174957275
5,4.632570076325701,right_wrist,16.59582011861171,45.42193535560637,0.3070164322853088
5,4.632570076325701,left_hip,26.394052526774853,79.5556803237865,0.9867216348648072
5,4.632570076325701,right_hip,26.01362511075269,79.36299827244152,0.9883387088775636
5,4.632570076325701,left_knee,26.21254387160042,92.27697991739224,0.9620970487594604
5,4.632570076325701,right_knee,28.681276239983227,91.42996986277664,0.9674140810966492
5,4.632570076325701,left_ankle,22.94385022454131,104.34635390511308,0.8455731868743896
5,4.632570076325701,right_ankle,26.927334182348893,103.00050306437664,0.8596567511558533
